coding_order,trace_id,difficulty,endpoint,first_bad_step,phase,failure_mode,mode_name,blame_final,one_line,evidence_quote,tests_run_before_submit,verified_fix,gave_up,secondary,confidence,adjudication,cost_usd,seconds
1,pylint-dev__pylint-4604,15 min - 1 hour,wrong_or_no_fix,105,submission,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"agent's Attribute-handling fix in _store_type_annotation_node is behaviorally equivalent to gold and was verified (repro at step 63 and the graded test file passing at step 87), but the gold test patch imports IS_PYPY from pylint.constants, a constant only gold's non-test change adds, so the whole graded file fails at import and 0/21 F2P pass; no trajectory step was wrong, mismatch never became visible, so first_bad_step is the last step.","20 passed, 1 warning in 0.18s",True,True,False,,high,uphold_eval_side:spec_underdetermined,0.007737,150
2,pylint-dev__pylint-4661,15 min - 1 hour,wrong_or_no_fix,195,submission,E2,the grading machinery itself broke,exam,"step 48 showed platformdirs installed and appdirs absent in a no-network container, so the agent implemented XDG compliance via platformdirs.user_cache_dir, functionally matching gold; the graded test_pylint_home hard-imports appdirs and pins appdirs.user_cache_dir('pylint'), a library choice the issue never stated and the agent could not install; the old test's failure (step 96) asserted the pre-fix behavior the issue demands removing, so it carried no usable signal.","astroid             2.6.6
platformdirs        4.3.7
pylint              2.10.0.dev0 /testbed",True,False,False,,med,uphold_eval_side:env_flake,0.024653,518
3,django__django-11477,15 min - 1 hour,partial_fix,68,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"step 32 already showed resolve() itself emitting kwargs={'slug': None} for the unmatched optional group, and step 65 stated that mechanism explicitly, yet at step 68 the agent chose to filter Nones inside translate_url() (the consumer) instead of fixing RegexPattern.match (the producer), so the two resolver-level F2P tests in urlpatterns.tests.SimplifiedURLTests still fail while the translate_url test passes.","`resolve()` returns `kwargs={'slug': None}` for a missing optional named group, and `reverse()` then renders `None` as the literal string `""None""` in the URL.",True,True,False,,med,,0.009448,228
4,django__django-10999,<15 min fix,wrong_or_no_fix,67,submission,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent applied the exact lookahead fix the issue itself prescribed (step 38), verified per-component negative parsing (steps 40-43) and saw all 29 existing dateparse/duration tests pass (step 51); the gold fix instead redefined semantics with a whole-duration sign ('-15:30' == minus 15m30s, '-01:-01' -> None) and the graded tests rewrite the existing test_negative expectations accordingly, contradicting the issue's own proposed fix; mismatch never became visible.","Ran 29 tests in 0.130s

OK",True,True,False,,high,uphold_eval_side:spec_underdetermined,0.007392,164
5,sympy__sympy-22080,15 min - 1 hour,partial_fix,267,submission,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent correctly diagnosed the % operator precedence mechanism, fixed parenthesization in the Python code printer, and passed both Mod-related graded tests plus the full printing and lambdify suites (steps 189-195, 263); the one remaining F2P, test_create_expand_pow_optimization, asserts ccode unary-minus output like '-(x*x*x*x)' that only gold's change to the shared CodePrinter._print_Mul produces, a C-codegen side effect the lambdify issue never hints at; mismatch never became visible.","= tests finished: 846 passed, 26 skipped, 11 expected to fail, in 2.50 seconds =",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.041775,741
6,matplotlib__matplotlib-24870,15 min - 1 hour,wrong_or_no_fix,45,fix_design,M2,scoped out a visible sibling of the same bug,agent,"at step 45 the agent gated the bool auto-level on 'not self.filled', leaving contourf(bool) with the old 8 piled-up levels; step 66 even surfaced the filled-case question ('Filled contours require at least 2 levels') but the agent kept the punt instead of choosing valid filled levels, and the graded test_bool_autolevel also requires contourf(bool) -> [0, .5, 1], so the single F2P test fails on its contourf asserts.",if np.asarray(z).dtype == np.bool_ and not self.filled:,True,True,False,,med,,0.017854,340
7,astropy__astropy-13398,1-4 hours,wrong_or_no_fix,214,verification,M1,dismissed red evidence it had itself produced,agent,"steps 206-213 proved via git stash A/B runs that the new direct ITRS->AltAz edge breaks 5 previously passing test_gcrs_altaz_bothroutes tests (5 failed with the patch, none of them without), yet from step 214 onward the agent never addressed the regression, re-observed it at step 263, and submitted anyway while the summary framed the failures as expected to be replaced by the PR's test changes.",FAILED astropy/coordinates/tests/test_intermediate_transformations.py::test_gcrs_altaz_bothroutes[testframe0],True,True,True,"all 4 graded F2P tests exercise topocentric ITRS via ITRS(location=...) and location-aware CIRS/TETE<->ITRS transforms that gold adds; the agent's implementation never supports an ITRS location attribute, so the new tests fail independently of the regression",high,,0.05403,800
8,scikit-learn__scikit-learn-25747,15 min - 1 hour,wrong_or_no_fix,90,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"steps 9-62 reproduced, debugged, fixed and verified the reported length-mismatch case; the graded test additionally demands the index be ignored for DataFrames even at EQUAL length, a semantics contradicted by an existing test (test__wrap_in_pandas_container_dense_update_columns_and_index) that the gold patch had to rewrite, so the mismatch never surfaced in the trajectory and step 90 closed cleanly.",The fix should be in `_wrap_in_pandas_container`: only set/pass the original index when its length matches the number of rows of the transformed data.,True,True,False,,med,uphold_eval_side:spec_underdetermined,0.011589,242
9,matplotlib__matplotlib-26466,15 min - 1 hour,wrong_or_no_fix,66,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"steps 31-65 reproduced the xy aliasing, fixed _AnnotationBase.__init__ identically to the gold patch's _AnnotationBase hunk, and verified; the still-failing graded test exercises OffsetFrom._ref_coord aliasing, a sibling site the issue text never mentions (it only names the xy kwarg of annotate), so the gap never became visible before the close at step 66.","-        self.xy = xy
+        x, y = xy  # Make sure xy can be cast to a tuple
+        self.xy = x, y",True,True,False,a defensive sweep for the same `self.attr = arg` aliasing pattern in text.py (which holds OffsetFrom._ref_coord = ref_coord) would have caught the graded site; the agent grepped only for 'self.xy' at step 27,med,uphold_eval_side:spec_underdetermined,0.005952,219
10,sphinx-doc__sphinx-8595,<15 min fix,wrong_or_no_fix,55,submission,E2,the grading machinery itself broke,exam,"the submitted one-line patch (`if self.__all__ is None:`) is byte-identical to the gold patch, the agent reproduced the bug (step 26), verified the fix (step 30) and ran the autodoc suite (step 53); the graded F2P test still failing with an identical source patch can only be a grading/environment fault, and it never became visible in the trajectory, so the marker sits on the final step.","-            if not self.__all__:
+            if self.__all__ is None:",True,True,False,,high,uphold_eval_side:env_flake,0.004914,100
