round,decision,val_full_survival_pct,val_mean_months,test_full_survival_pct,note
0,baseline,0.0,34.80,0.0,unguided ReAct
1,kept,45.0,88.90,70.0,backbone found: check cash / forecast runway / save note / check market / decide capital
2,kept,80.0,112.60,80.0,recall_notes inserted after month start; tool calls per month 17.23 -> 3.08
3,rolled_back,65.0,102.15,,lowered the fundraising cash threshold; -15.0 val survival vs R2
4,rolled_back,75.0,109.20,,
5,no_gate,,,,candidate failed structural verification before validation; R4 metrics carried forward
6,rolled_back,65.0,108.75,,
7,kept,80.0,114.15,95.0,pruned the pass_action branch; tie with R2 accepted
8,kept,90.0,121.20,85.0,administrative bypass: fund_raising_request -> End
9,kept,90.0,121.20,85.0,tie with R8 accepted; this is the returned graph
10,rolled_back,85.0,121.20,,training 90.0% but validation 85.0%; loop terminated with R9
