item,value,section
worked example gate score,7/7,Appendix M
worked example proxy score,7/7,Appendix M
worked example human panel score,5.5/7,Appendix M
worked example verifiable reward,0.0,Appendix M
worked example tool calls correct,12 of 13,Appendix M
task pools,114 retail and 50 airline,Section 3 / Appendix J
base models,14 from six providers at two temperatures,Section 3
scored configurations,25,Section 3
scorable transcripts,3691 (about 3700),Appendix J
messages per conversation (mean),31,Appendix J
tool calls per conversation (mean),8.6,Appendix J
user turns per conversation (mean),7.6,Appendix J
persona strata,6 (cooperative; impatient/rude; distracted; anxious/low-trust; terse; skeptical negotiator),Appendix I
retail NL assertion changed the outcome,113 of 2537 (4.5%),Appendix K
human annotators,3 on 150 transcripts (Krippendorff alpha 0.79),Limitations
five subjective dimensions vs success,all |rho| <= 0.17; 56 to 64% of highly rated conversations failed,Appendix B
gate ranking validity over 25 agents,rho 0.94 (all four judges 0.84 to 0.94),Section 4.2
near-equal pairs share of all pairs,30%,Section 4.2
near-equal pairs share of top-half pairs,55%,Section 4.2
near-equal top-11 rho,0.25 to 0.51 (not significant),Appendix F.1
judges run as agents,Opus-4.8 0.82; GPT-5.5 0.84; pool-best Opus-4.6 0.87,Section 4.3
gate score working vs broken configs (1 to 7),4.24 vs 2.25,Appendix C
SimulatorArena math tutoring human >= 8/10 but wrong,38.7% (12 of 31),Table 4 / Appendix M
persona reweighting transfer,0.71 to 0.80 in-sample; 0.68 leave-one-stratum-out,Section 4.6
four-judge ensemble,no lift; worse under leave-one-agent-out,Section 4.6
grid failures terminating normally,96.5% of 1485,Section 4.5
same-family self-preference,+0.75 of 7,Appendix F
personas cut mean reward,0.47 to 0.27 (42%),Appendix I
